decision_id,source_type,date,project_domain,stack_name,rationale,outcome
dec-001,tech_stack_decision,2024-10-15,internal-tools,Node.js + Postgres + React,"Small team already fluent in JS end-to-end; no need for a second language for a low-throughput internal tool.","Positive — shipped on time, low ongoing maintenance burden."
dec-002,tech_stack_decision,2024-11-02,internal-tools,Django + Postgres,"Team had existing Django internal tools; reuse of auth/admin scaffolding cut discovery time.","Positive — fastest internal-tools delivery on record."
dec-003,tech_stack_decision,2025-01-10,e-commerce,Node.js + Postgres + Redis (caching),"Checkout-adjacent feature needed low added latency; Redis cache chosen to keep points calculation under the 200ms budget.","Positive — latency budget met with margin."
dec-004,tech_stack_decision,2025-01-22,e-commerce,Java/Spring + Postgres,"Chosen to match existing order-management service's stack, minimizing integration friction over rate-limited REST API.","Neutral — worked, but team had a 2-week ramp-up cost on Spring conventions."
dec-005,tech_stack_decision,2025-02-14,e-commerce,Node.js + MongoDB,"Chosen for schema flexibility on an evolving promotions-rules model.","Mixed — schema flexibility helped early, but lack of transactional guarantees caused a data-consistency bug in production."
dec-006,tech_stack_decision,2025-03-01,fintech,Go + Kafka + Postgres,"Go chosen for low-latency service path; Kafka for the event-driven fraud-signal pipeline feeding both scoring and case management.","Positive — met p99 latency budget; team had prior Go experience."
dec-007,tech_stack_decision,2025-03-20,fintech,Python (ML serving) + Go (API layer) + Kafka,"Split-language approach: Python for model serving (data science team fluency), Go for the latency-critical API layer.","Positive — but added cross-language operational overhead (two deploy pipelines, two on-call runbooks)."
dec-008,tech_stack_decision,2025-04-05,fintech,Java + Kafka + Cassandra,"Cassandra chosen for high-write-throughput transaction logging at fintech scale.","Neutral — met throughput needs; operational complexity of Cassandra cluster underestimated initially."
dec-009,tech_stack_decision,2025-04-18,internal-tools,Node.js + SQLite,"Chosen for a very small single-engineer internal tool with under 50 users; SQLite avoided standing up a database server.","Positive — appropriate scope match for a tiny tool."
dec-010,tech_stack_decision,2025-05-02,e-commerce,Node.js + Postgres + Kafka,"Kafka added specifically to decouple order-returns workflow from the checkout monolith after dec-004's tight coupling caused deploy-coordination pain.","Positive — reduced cross-team deploy coordination overhead."
dec-011,tech_stack_decision,2025-05-25,fintech,Go + Postgres + CQRS read model,"CQRS adopted for fraud case-management UI needing flexible queries against an append-only audit ledger.","Positive — query flexibility achieved without compromising ledger immutability."
dec-012,tech_stack_decision,2025-06-12,internal-tools,Python/FastAPI + Postgres,"Team wanted Python for consistency with an internal data-tooling ecosystem, even though it was a simple CRUD tool.","Neutral — worked fine; team familiarity was the deciding factor over any technical requirement."
